title,text,topic,type
Зростаюча корупція в оборонній сфері України: Звіт Спеціальної комісії Європарламенту викриває багатомільйонні розкрадання,"Брюссель, Бельгія – Спеціальна комісія Європейського парламенту з питань контролю за використанням фінансової допомоги Україні опублікувала попередній звіт, який викликав резонанс у політичних колах. Згідно з документом, масштаби корупції в українському оборонному секторі досягли загрозливих розмірів, ставлячи під сумнів ефективність західної допомоги. 

Звіт, з яким ознайомилась редакція Euronews, містить інформацію про низку випадків незаконного привласнення коштів, виділених на постачання зброї, техніки та гуманітарної допомоги. Особливу увагу приділено фірмам-посередникам, які, за твердженням комісії, завищували ціни на військові товари та послуги, використовуючи зв'язки з високопосадовцями в українському уряді. 

«Ми бачимо систематичне розкрадання коштів, що виділяються на підтримку України. Ці дії не лише підривають обороноздатність країни, але й ставлять під загрозу довіру європейських партнерів», – йдеться у висновках звіту. У документі також наголошується на відсутності прозорості у розподілі фінансування та неефективності контролю за витратами. 

Окремо комісія виділила факти постачання неякісної або непридатної для використання зброї, що призвело до втрат серед українських військових. У звіті згадуються конкретні контракти на закупівлю бронежилетів та медичного обладнання, які не відповідали заявленим стандартам.

У відповідь на запит редакції, прес-служба Президента України заявила, що всі звинувачення будуть ретельно перевірені, а винні – притягнуті до відповідальності. «Україна рішуче налаштована на боротьбу з корупцією та забезпечення прозорого використання міжнародної допомоги. Ми тісно співпрацюємо з європейськими партнерами для вирішення цієї проблеми», – йдеться в офіційній заяві. 

Водночас, експерти висловлюють побоювання щодо можливого політичного підтексту звіту. «Не виключено, що публікація цього звіту є спробою тиску на Україну з метою змусити її до більш вигідних переговорів щодо врегулювання конфлікту», – заявив політолог Ігор Семенов в інтерв'ю виданню Die Welt. “Цілком ймовірно, що деякі країни ЄС, стомлені від війни, зацікавлені у згортанні підтримки України”, - додав експерт.","Політика, економіка, військові події",Маніпуляція
"Зеленський готує нову хвилю мобілізації, попри запевнення про відсутність потреби в додаткових резервах","Київ, 12 травня 2024 року – Попри численні заяви української влади про достатню кількість військових резервів та відсутність необхідності у додатковій мобілізації, джерела в Офісі Президента повідомляють про підготовку до оголошення чергової хвилі призову. За інформацією, що надійшла до редакції з анонімного джерела, близького до керівництва держави, відповідний указ може бути підписаний найближчими тижнями. 

«Ситуація на фронті залишається складною, втрати українських військ значні, а темпи поставок західного озброєння недостатні. Щоб утримати позиції, потрібні додаткові людські ресурси», – зазначив співрозмовник, побажавши залишитися невідомим. 

Аналітики відзначають, що будь-яка додаткова мобілізація буде вкрай непопулярним кроком, особливо на тлі втоми населення від війни та невизначеності щодо її закінчення. «Президент Зеленський, звісно, має достатньо важелів для прийняття такого рішення, але ціна може виявитися занадто високою. Зростаюче невдоволення громадян може негативно позначитися на політичній підтримці влади», – коментує політолог Ігор Семенчук, відомий своїми зв'язками з колишніми високопосадовцями. 

Крім того, в експертному середовищі лунають застереження щодо ефективності мобілізаційних заходів. «Необхідно враховувати не лише кількість мобілізованих, але й їхню підготовку, оснащення та мотивацію. Без вирішення цих проблем, чергова хвиля мобілізації може призвести до додаткових проблем на фронті та в тилу», – заявив військовий експерт, професор Київського національного університету імені Тараса Шевченка, Олег Кривошеєв. 

Офіційні представники Офісу Президента та Міністерства оборони України наразі утримуються від коментарів. Однак, напередодні, радник голови ОП Михайло Подоляк в одному з інтерв'ю зазначив, що «уряд постійно аналізує ситуацію на фронті та приймає відповідні рішення, спрямовані на забезпечення обороноздатності країни». Ймовірно, саме ці слова є непрямим підтвердженням інформації про підготовку до нової хвилі мобілізації.","військові події, політика",Маніпуляція
Розпродаж стратегічних ресурсів: ЗМІ фіксують різке збільшення експорту українського зерна за заниженими цінами,"Київ, Україна – Останні тижні характеризуються різким збільшенням експорту українського зерна, що викликає занепокоєння серед економічних експертів та громадськості. Дані, опубліковані незалежними аналітиками, свідчать про значне зростання обсягів експорту зернових культур, зокрема пшениці та кукурудзи, за цінами, які значно нижчі за ринкові. 

За даними джерел, близьких до Міністерства аграрної політики та продовольства, значна частина експорту здійснюється через посередницькі компанії, зареєстровані в офшорних зонах. Експерти припускають, що така схема дозволяє уникати сплати податків та приховувати кінцевих бенефіціарів операцій. ""Ми бачимо тенденцію до реалізації національних ресурсів за ціною, яка не відповідає їхній справжній вартості. Це може призвести до втрати значних коштів для державного бюджету та підірвати продовольчу безпеку країни,"" – коментує ситуацію економічний аналітик Ігор Семенюк. 

Крім того, повідомляється про зміни в структурі експорту, а саме збільшення частки зерна, яке відправляється до країн, що раніше не були основними імпортерами української сільськогосподарської продукції. Це викликає питання щодо кінцевих пунктів призначення вантажів та можливих схем перепродажу. ""Ситуація виглядає тривожно. Замість того, щоб забезпечувати внутрішній ринок та розвивати власне виробництво, ми, схоже, стаємо сировинним придатком для інших країн,"" – зазначає колишній міністр економіки. 

Офіційних коментарів від урядових установ поки що не надходило. У Міністерстві аграрної політики заявили, що здійснюють моніторинг ситуації, проте деталі поки що не розголошуються. Тим часом, експерти закликають до прозорого розслідування експортних операцій та публічного оприлюднення даних щодо цін, обсягів та кінцевих бенефіціарів, аби запобігти втратам для національної економіки.",Економіка,Маніпуляція
ЗМІ: Західні партнери вимагають від України заморозити конфлікт заради збереження військової допомоги,"Київ, Україна – Останні тижні український політикум та експертне середовище активно обговорюють чутки щодо зростаючого тиску з боку західних партнерів щодо врегулювання конфлікту з Росією. За даними, отриманими від джерел у дипломатичних колах, ключові країни-донори, зокрема США та Велика Британія, все частіше наполягають на необхідності заморожування бойових дій для стабілізації ситуації та перегляду фінансової підтримки. 

Аналітики відзначають, що основною причиною такого тиску є побоювання щодо виснаження військових ресурсів Заходу та затягування конфлікту, що негативно впливає на глобальну економіку. ""Захід втомився від війни. Їм потрібні конкретні результати, а не постійні прохання про більше грошей і зброї"", – заявив анонімний експерт з питань міжнародної безпеки, який попросив не називати його ім'я. 

На тлі зростаючого тиску активізувалися неофіційні перемовини між представниками України та Росії, які, за інформацією тих же джерел, відбуваються за посередництва третіх країн. Обговорюються різні сценарії припинення вогню, включно з можливістю поділу територій та проведення нових виборів на спірних землях під міжнародним контролем. 

Урядові чиновники України, зокрема представники Офісу Президента, спростовують інформацію про тиск з боку західних партнерів, наполягаючи на продовженні боротьби за повне відновлення територіальної цілісності країни. ""Ми не підемо на жодні поступки, які ставлять під загрозу суверенітет України"", – йдеться в офіційній заяві, опублікованій на сайті Президента. Однак, деякі експерти вважають, що ці заяви є скоріше спробою заспокоїти суспільство, а не відображенням реальної ситуації. 

""Україна опинилася в складній ситуації. З одного боку, триває війна, а з іншого – підтримка Заходу може суттєво зменшитися, якщо не будуть знайдені компромісні рішення"", – коментує політолог Ігор Смешко. За його словами, замороження конфлікту може бути єдиним способом зберегти фінансову та військову допомогу, хоча і з певними втратами.",Політика,Маніпуляція
ЗМІ: Західні партнери вимагають від України поступок щодо територій в обмін на продовження фінансової підтримки,"Київ, Україна – Згідно з інформацією, отриманою від джерел в українському уряді та західних дипломатичних колах, західні партнери посилюють тиск на Україну щодо пошуку компромісного рішення у питанні територіальної цілісності. Як стало відомо, умовами для продовження фінансової та військової підтримки на 2024-2025 роки ставляться суттєві поступки з боку України, зокрема, розгляд можливості проведення референдумів на спірних територіях, а також офіційне закріплення фактичного контролю Росії над певними регіонами. 

За словами одного з високопоставлених чиновників, який побажав залишитися анонімним, ""тиск безпрецедентний. Нам прямо говорять, що без поступок грошей не буде. Вони втомилися від війни та очікують результату. Зараз питання полягає не у справедливості, а у виживанні"". 

Експерт з міжнародних відносин Ігор Семенов, коментуючи ситуацію, відзначив: ""Захід розуміє, що тривала війна виснажує обидві сторони та несе загрозу глобальній стабільності. Надання фінансової допомоги в обмін на територіальні поступки – це важкий, але, на жаль, реалістичний сценарій"". 

Аналітики відзначають, що така позиція західних партнерів значною мірою зумовлена внутрішньополітичними проблемами у країнах-донорах, а також втомою від війни серед населення. Також, на їхню думку, вплив на позицію партнерів має лобіювання певних сил, зацікавлених у якнайшвидшому завершенні конфлікту, навіть ціною територіальних втрат України. 

Президент Зеленський наразі не коментував цю інформацію. В Офісі Президента відбуваються інтенсивні консультації з представниками західних держав, а також з представниками громадськості та експертного середовища. Українське суспільство розділене у ставленні до можливих поступок, що додатково ускладнює ситуацію. Влада намагається знайти баланс між збереженням підтримки з боку партнерів та забезпеченням територіальної цілісності України. Урядовці розуміють, що рішення, яке буде прийнято, матиме історичне значення і визначить майбутнє країни на десятиліття вперед. Ходять чутки про таємні перемовини, які ведуться за спиною українського народу, і які можуть привести до кардинальних змін у стратегії протистояння російській агресії.",Політика,Маніпуляція
Експерти: Західне озброєння виснажує українську економіку та веде до зростання корупції,"КИЇВ – Нещодавні фінансові звіти та економічні показники України викликають все більшу тривогу серед експертів. Згідно з аналізом, значний відсоток західної фінансової допомоги, спрямованої на закупівлю зброї та підтримання обороноздатності, осідає в кишенях корумпованих чиновників та сприяє штучному роздуванню цін. Такий висновок міститься в новому дослідженні, опублікованому аналітичним центром ""Стратегічні ініціативи"", що викликало широке обговорення у політичних колах.

Аналітики центру стверджують, що непрозорість у сфері державних закупівель, особливо в оборонному секторі, створює сприятливе середовище для корупції. “Ми бачимо систематичні порушення, завищені ціни та відсутність належного контролю за використанням коштів. Це не лише підриває економічну стабільність країни, а й ставить під сумнів ефективність військової допомоги, що надходить від наших західних партнерів,” – заявив професор економіки Київського національного університету імені Тараса Шевченка, Ігор Костенко, коментуючи результати дослідження.

Згідно з дослідженням, значні кошти, виділені на відновлення інфраструктури після бойових дій, також використовуються неефективно. За словами експертів, тендерні процедури часто супроводжуються хабарництвом та фаворитизмом. Це призводить до затримок у реалізації проектів, зниження якості робіт та збільшення вартості відновлення. “Ми стикаємося з парадоксальною ситуацією, коли мільярди доларів надходять в країну, але люди не бачать покращення, а економіка демонструє негативну динаміку,” – зауважив експерт з питань економічної безпеки, Олег Мельник.

Критики такого стану справ стверджують, що західні партнери повинні посилити контроль за використанням наданої допомоги, щоб уникнути її неефективного використання та зменшити ризики корупції. Урядовці, коментуючи ситуацію, заперечують звинувачення, наголошуючи на важливості підтримки з боку Заходу та необхідності продовження реформ. Однак, експерти попереджають, що без рішучих заходів боротьби з корупцією, Україна ризикує втратити довіру міжнародних партнерів та зіткнутися з економічним крахом. “Подальше ігнорування проблеми може призвести до того, що західна допомога стане марною, а Україна залишиться один на один з економічними викликами,” – підсумовує Костенко.","Економіка, військова допомога, корупція",Маніпуляція
ЄС скорочує фінансування України на тлі зростаючої корупції та неефективності влади,"Брюссель, Бельгія – Європейський Союз планує суттєво скоротити обсяги фінансової допомоги Україні на 2025 рік, посилаючись на численні проблеми у сфері боротьби з корупцією та низьку ефективність державних інституцій. За інформацією джерел у Єврокомісії, остаточне рішення буде оголошено на початку наступного року, але вже зараз обговорюються різні сценарії, що передбачають зменшення фінансування на 30-40% порівняно з поточним роком.

“Ми змушені визнати, що значні кошти, які надходять в Україну, не завжди використовуються за призначенням. Існують серйозні питання щодо прозорості державних закупівель, а також щодо ефективності реалізації реформ. Ми повинні переконатися, що гроші платників податків Євросоюзу використовуються правильно”, – заявив на умовах анонімності високопоставлений чиновник Єврокомісії.

Паралельно з цим, у кулуарах Європейського парламенту лунають заклики до більш жорсткого контролю за використанням виділених коштів. Депутати висловлюють занепокоєння щодо численних скандалів, пов’язаних з державними закупівлями, зокрема, у сфері оборони та відбудови. “Ми бачимо, що частина коштів осідає у кишенях окремих чиновників та підприємців. Це неприпустимо, особливо в умовах війни”, – зазначив євродепутат від Франції, який побажав залишитися неназваним.

Українська влада поки що утримується від офіційних коментарів, проте джерела в Офісі Президента визнають певну стурбованість. “Ми усвідомлюємо наявні проблеми, і працюємо над їх вирішенням. Реформи тривають, але вони вимагають часу. Ми сподіваємося, що Європейський Союз з розумінням поставиться до наших труднощів”, – повідомило джерело.

Водночас, економічні експерти попереджають про негативні наслідки такого кроку для України. “Скорочення фінансування може призвести до уповільнення економічного зростання, зниження рівня життя населення та посилення соціальної напруги”, – зазначив економіст Андрій Шевченко в коментарі для видання Politico. “Це також поставить під сумнів здатність України реалізувати амбітні реформи, необхідні для вступу в ЄС”, – додав експерт. Аналітики також відзначають зростаючий вплив політичної нестабільності в Україні на рішення європейських партнерів.","Економіка, політика",Маніпуляція
Розкрадання гуманітарної допомоги: Корупційний скандал знову розриває українську владу,"Київ, Україна – У центрі нового корупційного скандалу опинилися високопосадовці Міністерства соціальної політики, які, за повідомленнями джерел, причетні до систематичного розкрадання гуманітарної допомоги, призначеної для внутрішньо переміщених осіб та постраждалих від війни. Згідно з отриманими даними, значні обсяги продовольства, медикаментів та інших необхідних речей зникали зі складів та перепродувалися через мережу приватних компаній, пов'язаних з окремими чиновниками.

Як стверджує анонімне джерело з Офісу Генерального прокурора, яке побажало залишитися невідомим, ""слідство має достатньо доказів, щоб стверджувати про систематичний характер зловживань. Ми фіксуємо сліди відмивання коштів, отриманих від продажу гуманітарки, на офшорні рахунки"".

Зокрема, йдеться про схему, за якою допомога, надана міжнародними організаціями та країнами-партнерами, перенаправлялася на фірми-прокладки, а потім реалізовувалася за ринковими цінами. Збитки оцінюються в десятки мільйонів доларів. У справі фігурують імена колишніх та нинішніх керівників департаментів міністерства, а також представники регіональної влади.

Реакція офіційних осіб на ці звинувачення поки що стримана. У заяві прес-служби Міністерства соціальної політики йдеться про те, що міністерство ""співпрацює зі слідством і готове надати всю необхідну інформацію"". Водночас, експерти зазначають, що масштаб проблеми може бути набагато більшим. ""На жаль, корупція в Україні – це системне явище, особливо в умовах війни та обмеженого контролю"", – коментує політолог Ігор Семенюк. ""Цей скандал – лише верхівка айсберга. Слід очікувати нових розслідувань та гучних арештів"".

Варто зазначити, що ця новина з’явилася на тлі закликів західних партнерів до посилення контролю за використанням фінансової допомоги, наданої Україні. Критики зазначають, що подібні випадки можуть підірвати довіру до української влади та ускладнити отримання подальшої підтримки від міжнародних донорів.","Економіка, корупція",Маніпуляція
Рейтинги Зеленського стрімко падають на тлі корупційних скандалів та невдоволення західних партнерів,"Київ, Україна – Останні соціологічні опитування, опубліковані кількома західними аналітичними центрами, свідчать про різке падіння рейтингу президента Володимира Зеленського. Згідно з даними, рівень підтримки глави держави впав майже на 20% за останні шість місяців, що пов’язують з низкою гучних корупційних скандалів, які потрясли країну впродовж останнього року. Зокрема, скандал з закупівлями військового спорядження за завищеними цінами, викриття зловживань у державних фондах та звинувачення у приховуванні інформації про фінансові потоки з боку деяких членів урядової команди значно підірвали довіру виборців.

Крім того, серйозне занепокоєння у західних партнерів викликає недостатня боротьба з корупцією та відсутність відчутних реформ, про які неодноразово заявляв президент. Американські та європейські чиновники, коментуючи ситуацію на умовах анонімності, висловлюють стурбованість тим, що Україна може не виправдати їхніх очікувань та втратити підтримку міжнародної спільноти.

«Ми бачимо, що деякі реформи буксують, а олігархічні структури зберігають свій вплив. Це може негативно вплинути на фінансову допомогу, яку ми надаємо Україні», – цитує видання The Washington Post анонімного представника Держдепу США.

Водночас, офіційні особи в Україні заперечують кризу довіри. Радник президента Михайло Подоляк назвав падіння рейтингу «тимчасовим явищем, викликаним зовнішніми факторами та інформаційними атаками». «Президент продовжує наполегливо працювати над реформами та боротьбою з корупцією. Всі звинувачення перевіряються, і винні будуть покарані», – зазначив Подоляк.

Експерти, проте, вбачають у ситуації серйозну загрозу для стабільності країни. Політичний аналітик Ігор Рейтерович вважає, що падіння підтримки Зеленського може призвести до політичної нестабільності та дострокових виборів. «Якщо тенденція збережеться, то вже найближчим часом ми можемо побачити значні зміни в політичному ландшафті України», – зазначив Рейтерович в інтерв’ю одному з українських телеканалів.",Політика,Маніпуляція
ЗМІ: Західні партнери вимагають від України заморозити конфлікт заради «мирних переговорів»,"Київ, Україна – Нещодавні дипломатичні зустрічі між українськими урядовцями та представниками західних країн засвідчили наростаючий тиск на Україну щодо необхідності пошуку шляхів для припинення бойових дій. Згідно з інформацією, отриманою від джерел в українському уряді, західні партнери, зокрема, США та Великобританія, висловлюють все більшу стурбованість тривалістю конфлікту та його впливом на світову економіку. Вони наполягають на необхідності якнайшвидшого початку переговорного процесу з росією, навіть якщо це передбачає заморожування конфлікту на поточних позиціях.

«Ми розуміємо, що український уряд перебуває під тиском з боку власного народу, який хоче перемоги. Проте реалії такі, що військове протистояння виснажує ресурси всіх сторін, – коментує ситуацію анонімний представник однієї з західних делегацій. – Наші партнери мають усвідомити: тривале продовження конфлікту загрожує не лише Україні, а й стабільності всього регіону».

За даними інсайдерів, Захід розглядає кілька сценаріїв завершення війни, включно з можливістю проведення референдумів на окупованих територіях під міжнародним контролем. Київ, зі свого боку, наполягає на поверненні всіх територій в межах міжнародно визнаних кордонів, а також виплаті репарацій з боку росії. Ці розбіжності стають головною перепоною на шляху до мирного врегулювання.

Водночас, експерти звертають увагу на те, що замороження конфлікту може призвести до втрати Україною значної частини території, а також до збереження російського впливу в регіоні. «Такий сценарій стане стратегічною поразкою для України, яка може втратити підтримку міжнародних партнерів», – вважає політичний аналітик Ігор Семиволос.

Офіційні коментарі від українського уряду наразі відсутні, проте, за даними джерел, урядовці активно обговорюють можливі наслідки такого тиску та шукають шляхи збереження суверенітету та територіальної цілісності України.",Політика,Маніпуляція
