id,url,title,text,owner,datetime
19129655,https://t.me/tsn_ua/298483,Гороскоп на 17 липня 2022 для всіх знаків зодіаку за картами Таро Читати далі,Гороскоп на 17 липня 2022 для всіх знаків зодіаку за картами Таро Читати далі,ТСН,2022-07-17T04:14:43+00:00
19129656,https://t.me/tsn_ua/298484,"17 липня 2022 року – цей день в історії, яке сьогодні народне свято та основні події Читати далі","17 липня 2022 року – цей день в історії, яке сьогодні народне свято та основні події Читати далі",ТСН,2022-07-17T04:14:44+00:00
19129657,https://t.me/tsn_ua/298485,В Україні доступні всі вакцини згідно з календарем щеплень - МОЗ Читати далі,В Україні доступні всі вакцини згідно з календарем щеплень - МОЗ Читати далі,ТСН,2022-07-17T04:14:45+00:00
19129658,https://t.me/tsn_ua/298486,Вибухи у Харкові та Миколаєві й катастрофа українського літака у Греції: головні новини ночі 17 липня Читати далі,Вибухи у Харкові та Миколаєві й катастрофа українського літака у Греції: головні новини ночі 17 липня Читати далі,ТСН,2022-07-17T04:14:46+00:00
19129706,https://t.me/lachentyt/16043,"За вчорашній день було демілітарізовано: — Скаргівка, Луганщина.","За вчорашній день було демілітарізовано: — Скаргівка, Луганщина. Мінус БК. — Чистякове (Торез), Донеччина. Мінус мінібаза окупантів.",Лачен пише,2022-07-17T04:53:19+00:00
19129765,https://t.me/tsn_ua/298481,"Ворог, здійснюючи злочини проти мирного населення, бойового успіху не має - оперативне командування ""Південь"" Читати далі","Ворог, здійснюючи злочини проти мирного населення, бойового успіху не має - оперативне командування ""Південь"" Читати далі",ТСН,2022-07-17T03:14:21+00:00
19129767,https://t.me/tsn_ua/298482,"Європа не хоче вступати у війну з Росією, але відповідає на загрозу санкціями та підтримкою України - Боррель Читати далі","Європа не хоче вступати у війну з Росією, але відповідає на загрозу санкціями та підтримкою України - Боррель Читати далі",ТСН,2022-07-17T03:14:22+00:00
19130586,https://t.me/tsn_ua/298507,"РФ зміцнює оборонні позиції на півдні, готуючись до загрози з боку ЗСУ - британська розвідка Читати далі","РФ зміцнює оборонні позиції на півдні, готуючись до загрози з боку ЗСУ - британська розвідка Читати далі",ТСН,2022-07-17T08:14:19+00:00
19130587,https://t.me/tsn_ua/298508,Окупанти вранці знову потужно обстріляли Шосткинський район Сумщини: Живицький повідомив деталі Читати далі,Окупанти вранці знову потужно обстріляли Шосткинський район Сумщини: Живицький повідомив деталі Читати далі,ТСН,2022-07-17T08:14:20+00:00
19130588,https://t.me/tsn_ua/298509,Авіакатастрофа у Греції: всі члени екіпажу Ан-12 були громадянами України Читати далі,Авіакатастрофа у Греції: всі члени екіпажу Ан-12 були громадянами України Читати далі,ТСН,2022-07-17T08:14:22+00:00
19130589,https://t.me/tsn_ua/298510,Легендарний The Rolling Stones у Відні заспівав з українцями Читати далі,Легендарний The Rolling Stones у Відні заспівав з українцями Читати далі,ТСН,2022-07-17T08:14:23+00:00
19130590,https://t.me/tsn_ua/298511,"""Тільки почали бачити ""рожеві"" сни: ЗСУ вгатили по базі окупантів в Алчевську (відео) Читати далі","""Тільки почали бачити ""рожеві"" сни: ЗСУ вгатили по базі окупантів в Алчевську (відео) Читати далі",ТСН,2022-07-17T08:14:25+00:00
19130591,https://t.me/tsn_ua/298512,Чи законне вручення повісток на блокпосту через порушення ПДР: роз'яснення від ЗСУ Читати далі,Чи законне вручення повісток на блокпосту через порушення ПДР: роз'яснення від ЗСУ Читати далі,ТСН,2022-07-17T08:14:27+00:00
19130592,https://t.me/tsn_ua/298513,"""Це блеф"": Фукуяма про слова Путіна, що вони ""ще не починали воювати"" Читати далі","""Це блеф"": Фукуяма про слова Путіна, що вони ""ще не починали воювати"" Читати далі",ТСН,2022-07-17T08:14:28+00:00
19130594,https://t.me/tsn_ua/298514,У РФ без перебору набирають найманців для війни проти України: в ISW з'ясували деталі Читати далі,У РФ без перебору набирають найманців для війни проти України: в ISW з'ясували деталі Читати далі,ТСН,2022-07-17T08:14:30+00:00
19130597,https://t.me/tsn_ua/298505,"Окупанти продовжують ""замітати сліди"" на острові Зміїний Читати далі","Окупанти продовжують ""замітати сліди"" на острові Зміїний Читати далі",ТСН,2022-07-17T08:14:15+00:00
19130598,https://t.me/tsn_ua/298506,Росіяни обстрілюють Харків та область: в ОВА розповіли про наслідки атак (фото) Читати далі,Росіяни обстрілюють Харків та область: в ОВА розповіли про наслідки атак (фото) Читати далі,ТСН,2022-07-17T08:14:17+00:00
19130627,https://t.me/tsn_ua/298450,Чому здорожчав цукор і що буде з цінами далі: відповідь експертки Читати далі,Чому здорожчав цукор і що буде з цінами далі: відповідь експертки Читати далі,ТСН,2022-07-16T19:14:24+00:00
19130628,https://t.me/tsn_ua/298451,"Зі Святогірської Лаври біля лінії фронту евакуювали людей, серед них – народжене кілька днів тому немовля Читати далі","Зі Святогірської Лаври біля лінії фронту евакуювали людей, серед них – народжене кілька днів тому немовля Читати далі",ТСН,2022-07-16T19:14:25+00:00
19130629,https://t.me/tsn_ua/298452,"Ракетний удар по Покровську: окупанти атакували ""Іскандерами -М"", зруйновано 27 будинків (фото, відео) Читати далі","Ракетний удар по Покровську: окупанти атакували ""Іскандерами -М"", зруйновано 27 будинків (фото, відео) Читати далі",ТСН,2022-07-16T19:14:26+00:00
19130630,https://t.me/tsn_ua/298453,Усидіти на двох стільцях: технічний спонсор збірної України презентував форму для російських клубів Читати далі,Усидіти на двох стільцях: технічний спонсор збірної України презентував форму для російських клубів Читати далі,ТСН,2022-07-16T19:14:27+00:00
19130631,https://t.me/tsn_ua/298454,"Штурми окупантів не закінчуються, військові РФ намагаються взяти Білогорівку та Верхньокам'янку: яка ситуація на Луганщині Читати далі","Штурми окупантів не закінчуються, військові РФ намагаються взяти Білогорівку та Верхньокам'янку: яка ситуація на Луганщині Читати далі",ТСН,2022-07-16T19:14:28+00:00
19130632,https://t.me/tsn_ua/298455,"""Це важливіше, ніж Донбас"": Фукуяма вважає реалістичним повернення Херсона та портів на Азові Читати далі","""Це важливіше, ніж Донбас"": Фукуяма вважає реалістичним повернення Херсона та портів на Азові Читати далі",ТСН,2022-07-16T19:14:29+00:00
19130783,https://t.me/tsn_ua/298479,Близько 10 потужних вибухів прогриміло у Миколаєві: не ігноруйте правила безпеки Читати далі,Близько 10 потужних вибухів прогриміло у Миколаєві: не ігноруйте правила безпеки Читати далі,ТСН,2022-07-17T02:14:23+00:00
19130784,https://t.me/tsn_ua/298480,Українські військові знищили 36 росіян та два танки Т-72 Читати далі,Українські військові знищили 36 росіян та два танки Т-72 Читати далі,ТСН,2022-07-17T02:14:24+00:00
19130807,https://t.me/lachentyt/16042,У Миколаїві вибухи,У Миколаїві вибухи,Лачен пише,2022-07-17T00:13:18+00:00
